source_code	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	mapping_type	primary_map
S5010	5	"5% DEXTROSE AND 0.45% NORMAL SALINE, 1000 ML"	19097059	8	DRUG	Y
S5011	5	"5% DEXTROSE IN LACTATED RINGER'S, 1000 ML"	19097059	8	DRUG	Y
S5012	5	"5% DEXTROSE WITH POTASSIUM CHLORIDE, 1000 ML"	19097059	8	DRUG	Y
S5013	5	"5% DEXTROSE/0.45% NORMAL SALINE WITH POTASSIUM CHLORIDE AND MAGNESIUM SULFATE, 1000 ML"	19097059	8	DRUG	Y
S5014	5	"5% DEXTROSE/0.45% NORMAL SALINE WITH POTASSIUM CHLORIDE AND MAGNESIUM SULFATE, 1500 ML"	19097059	8	DRUG	Y
G9033	5	"AMANTADINE HYDROCHLORIDE, ORAL BRAND, PER 100 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"	19069221	8	DRUG	Y
G9017	5	"AMANTADINE HYDROCHLORIDE, ORAL, PER 100 MG (FOR USE IN A MEDICARE-APPROVED DEMONSTRATION PROJECT)"	19069221	8	DRUG	Y
J7308	5	"AMINOLEVULINIC ACID HCL FOR TOPICAL ADMINISTRATION, 20%, SINGLE UNIT DOSAGE FORM (354 MG)"	904352	8	DRUG	Y
S0170	5	"ANASTROZOLE, ORAL, 1MG"	1348265	8	DRUG	Y
J8501	5	"APREPITANT, ORAL, 5 MG"	936748	8	DRUG	Y
S0157	5	"BECAPLERMIN GEL 0.01%, 0.5 GM"	19073894	8	DRUG	Y
S0106	5	"BUPROPION HCL SUSTAINED RELEASE TABLET, 150 MG, PER BOTTLE OF 60 TABLETS"	19046165	8	DRUG	Y
S0012	5	"BUTORPHANOL TARTRATE, NASAL SPRAY, 25 MG"	1133732	8	DRUG	Y
S0169	5	CALCITROL	19035631	8	DRUG	Y
S0161	5	"CALCITROL, 0.25 MG"	19074492	8	DRUG	Y
C9268	5	CAPSAICIN	939881	8	DRUG	Y
S0172	5	"CHLORAMBUCIL, ORAL, 2MG"	1390051	8	DRUG	Y
A4248	5	"CHLORHEXIDINE CONTAINING ANTISEPTIC, 1 ML"	1790812	8	DRUG	Y
A9564	5	"CHROMIC PHOSPHATE P-32 SUSPENSION, THERAPEUTIC, PER MILLICURIE"	19011099	8	DRUG	Y
J9062	5	"CISPLATIN, 50 MG"	1397599	8	DRUG	Y
S0136	5	"CLOZAPINE, 25 MG"	800892	8	DRUG	Y
S0142	5	"COLISTIMETHATE SODIUM, INHALATION SOLUTION ADMINISTERED THROUGH DME, CONCENTRATED FORM, PER MG"	1701677	8	DRUG	Y
J9091	5	"CYCLOPHOSPHAMIDE, 1.0 GRAM"	1310317	8	DRUG	Y
J9092	5	"CYCLOPHOSPHAMIDE, 2.0 GRAM"	1310317	8	DRUG	Y
J9080	5	"CYCLOPHOSPHAMIDE, 200 MG"	1310317	8	DRUG	Y
J9090	5	"CYCLOPHOSPHAMIDE, 500 MG"	1310317	8	DRUG	Y
J9096	5	"CYCLOPHOSPHAMIDE, LYOPHILIZED, 1.0 GRAM"	1310318	8	DRUG	Y
J9093	5	"CYCLOPHOSPHAMIDE, LYOPHILIZED, 100 MG"	1310318	8	DRUG	Y
J9097	5	"CYCLOPHOSPHAMIDE, LYOPHILIZED, 2.0 GRAM"	1310318	8	DRUG	Y
J9094	5	"CYCLOPHOSPHAMIDE, LYOPHILIZED, 200 MG"	1310318	8	DRUG	Y
J9095	5	"CYCLOPHOSPHAMIDE, LYOPHILIZED, 500 MG"	1310318	8	DRUG	Y
J9140	5	"DACARBAZINE, 200 MG"	1311409	8	DRUG	Y
S0160	5	"DEXTROAMPHETAMINE SULFATE, 5 MG"	719311	8	DRUG	Y
S0137	5	"DIDANOSINE (DDI), 25 MG"	19010060	8	DRUG	Y
S0174	5	"DOLASETRON MESYLATE, ORAL 50MG (FOR CIRCUMSTANCES FALLING UNDER THE MEDICARE STATUTE, USE Q0180)"	903459	8	DRUG	Y
J7639	5	"DORNASE ALFA, INHALATION SOLUTION, FDA-APPROVED FINAL PRODUCT, NON-COMPOUNDED, ADMINISTERED THROUGH DME, UNIT DOSE FORM, PER MILLIGRAM"	915841	8	DRUG	Y
J7527	5	"Everolimus, oral, 0.25 mg"	40175813	8	DRUG	Y
S0156	5	"EXEMESTANE, 25 MG"	1398400	8	DRUG	Y
