source_code	source_code_description	length
A1	Dressing for one wound	22
A2	Dressing for two wounds	23
A3	Dressing for three wounds	25
A4	Dressing for four wounds	24
A5	Dressing for five wounds	24
A6	Dressing for six wounds	23
A7	Dressing for seven wounds	25
A8	Dressing for eight wounds	25
A9	Dressing for nine or more wounds	32
AA	Anesthesia services performed personally by anesthesiologist	60
AD	Medical supervision by a physician: more than four concurrent anesthesia procedures	83
AE	Registered dietician	20
AF	Specialty physician	19
AG	Primary physician	17
AH	Clinical psychologist	21
AI	Principal physician of record	29
AJ	Clinical social worker	22
AK	Non participating physician	27
AM	"Physician, team member service"	30
AO	Alternate payment method declined by provider of service	56
AP	Determination of refractive state was not performed in the course of diagnostic ophthalmological examination	108
AQ	Physician providing a service in an unlisted health professional shortage area (hpsa)	85
AR	Physician provider services in a physician scarcity area	56
AS	"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery"	103
AT	"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)"	89
AU	"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply"	79
AV	"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic"	78
AW	Item furnished in conjunction with a surgical dressing	54
AX	Item furnished in conjunction with dialysis services	52
AY	Item or service furnished to an esrd patient that is not for the treatment of esrd	82
AZ	Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment	140
BA	Item furnished in conjunction with parenteral enteral nutrition (pen) services	78
BL	Special acquisition of blood and blood products	47
BO	"Orally administered nutrition, not by feeding tube"	50
BP	The beneficiary has been informed of the purchase and rental options and has elected to purchase the item	105
BR	The beneficiary has been informed of the purchase and rental options and has elected to rent the item	101
BU	The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision	136
CA	Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission	121
CB	"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable"	178
CC	Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed)	151
CD	Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable	129
CE	Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity	209
CF	Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable	129
CG	Policy criteria applied	23
CH	"0 percent impaired, limited or restricted"	41
CI	"At least 1 percent but less than 20 percent impaired, limited or restricted"	75
CJ	"At least 20 percent but less than 40 percent impaired, limited or restricted"	76
CK	"At least 40 percent but less than 60 percent impaired, limited or restricted"	76
CL	"At least 60 percent but less than 80 percent impaired, limited or restricted"	76
CM	"At least 80 percent but less than 100 percent impaired, limited or restricted"	77
CN	"100 percent impaired, limited or restricted"	43
CR	Catastrophe/disaster related	28
CS	"Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities"	256
DA	Oral health assessment by a licensed health professional other than a dentist	77
E1	"Upper left, eyelid"	18
E2	"Lower left, eyelid"	18
E3	"Upper right, eyelid"	19
E4	"Lower right, eyelid"	19
EA	Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy	98
EB	Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy	98
EC	Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy	130
ED	Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle	172
EE	Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle	180
EJ	"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab"	92
EM	Emergency reserve supply (for esrd benefit only)	48
EP	Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program	101
ET	Emergency services	18
EY	No physician or other licensed health care provider order for this item or service	82
F1	"Left hand, second digit"	23
F2	"Left hand, third digit"	22
F3	"Left hand, fourth digit"	23
F4	"Left hand, fifth digit"	22
F5	"Right hand, thumb"	17
F6	"Right hand, second digit"	24
F7	"Right hand, third digit"	23
F8	"Right hand, fourth digit"	24
F9	"Right hand, fifth digit"	23
FA	"Left hand, thumb"	16
