source_code	source_vocabulary_id	source_code_description	Target_concept_code	target_vocabulary_id	mapping_type	primary_map
G6	5	ESRD PATIENT FOR WHOM LESS THAN SIX DIALYSIS SESSIONS HAVE BEEN PROVIDED IN A MONTH	46177005	1	CONDITION	Y
G7	5	PREGNANCY RESULTED FROM RAPE OR INCEST OR PREGNANCY CERTIFIED BY PHYSICIAN AS LIFE THREATENING	58532003	1	CONDITION	Y
G8006	5	ACUTE MYOCARDIAL INFARCTION: PATIENT DOCUMENTED TO HAVE RECEIVED ASPIRIN AT ARRIVAL	57054005	1	CONDITION	Y
G8007	5	ACUTE MYOCARDIAL INFARCTION: PATIENT NOT DOCUMENTED TO HAVE RECEIVED ASPIRIN AT ARRIVAL	57054005	1	CONDITION	Y
G8009	5	ACUTE MYOCARDIAL INFARCTION: PATIENT DOCUMENTED TO HAVE RECEIVED BETA-BLOCKER AT ARRIVAL	57054005	1	CONDITION	Y
G8010	5	ACUTE MYOCARDIAL INFARCTION: PATIENT NOT DOCUMENTED TO HAVE RECEIVED BETA-BLOCKER AT ARRIVAL	57054005	1	CONDITION	Y
G8012	5	PNEUMONIA: PATIENT DOCUMENTED TO HAVE RECEIVED ANTIBIOTIC WITHIN 4 HOURS OF PRESENTATION	233604007	1	CONDITION	Y
G8013	5	PNEUMONIA: PATIENT NOT DOCUMENTED TO HAVE RECEIVED ANTIBIOTIC WITHIN 4 HOURS OF PRESENTATION	233604007	1	CONDITION	Y
G8015	5	DIABETIC PATIENT WITH MOST RECENT HEMOGLOBIN A1C LEVEL (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS GREATER THAN 9%	73211009	1	CONDITION	Y
G8016	5	DIABETIC PATIENT WITH MOST RECENT HEMOGLOBIN A1C LEVEL (WITHIN THE LAST 6 MONTHS) DOCUMENTED AS LESS THAN OR EQUAL TO 9%	73211009	1	CONDITION	Y
G8019	5	DIABETIC PATIENT WITH MOST RECENT LOW-DENSITY LIPOPROTEIN (WITHIN THE LAST 12 MONTHS) DOCUMENTED AS GREATER THAN OR EQUAL TO 100 MG/DL	73211009	1	CONDITION	Y
