code	name	length
3120F	12-Lead ECG Performed (EM)	26
84143	17-hydroxypregnenolone	22
76376	"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality; not requiring image postprocessing on an independent workstation"	206
76377	"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality; requiring image postprocessing on an independent workstation"	202
9C	"ABCB1, commonly called MDR1 or p-glycoprotein (drug transport)"	62
38747	"Abdominal lymphadenectomy, regional, including celiac, gastric, portal, peripancreatic, with or without para-aortic and vena caval nodes (List separately in addition to code for primary procedure)"	196
49083	Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance	73
49082	Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance	76
51845	"Abdomino-vaginal vesical neck suspension, with or without endoscopic control (eg, Stamey, Raz, modified Pereyra)"	112
32998	"Ablation therapy for reduction or eradication of one or more pulmonary tumor(s) including pleura or chest wall when involved by tumor extension, percutaneous, radiofrequency, unilateral"	185
20982	"Ablation, bone tumor(s) (eg, osteoid osteoma, metastasis) radiofrequency, percutaneous, including computed tomographic guidance"	127
0120T	"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma"	89
19105	"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma"	89
47382	"Ablation, one or more liver tumor(s), percutaneous, radiofrequency"	66
50592	"Ablation, one or more renal tumor(s), percutaneous, unilateral, radiofrequency"	78
47381	"Ablation, open, of one or more liver tumor(s); cryosurgical"	59
47380	"Ablation, open, of one or more liver tumor(s); radiofrequency"	61
50250	"Ablation, open, one or more renal mass lesion(s), cryosurgical, including intraoperative ultrasound, if performed"	113
0135T	"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy"	63
50593	"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy"	63
3293F	ABO and Rh blood typing documented as performed (Pre-Cr)	56
3293F	ABO and Rh blood typing documented as performed (Pre-Cr)	56
15787	Abrasion; each additional four lesions or less (List separately in addition to code for primary procedure)	106
15786	"Abrasion; single lesion (eg, keratosis, scar)"	45
7F	ACADM (medium chain acyl CoA dehydrogenase deficiency)	54
0008F	"ACE inhibitor therapy, prescribed"	33
15336	"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately i"	255
15335	"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or one percent of body area of infants and children"	201
15331	"Acellular dermal allograft, trunk, arms, legs; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"	218
15330	"Acellular dermal allograft, trunk, arms, legs; first 100 sq cm or less, or one percent of body area of infants and children"	123
15176	"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional one percent of body area of infants and children, or part thereof (List separately"	255
